GAME_ID,GAME_DATE,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_SCORE,AWAY_SCORE
22401056,2025-03-26,1610612752,1610612746,113,126
22401047,2025-03-25,1610612748,1610612744,112,86
22401051,2025-03-25,1610612757,1610612739,111,122
22401052,2025-03-25,1610612758,1610612760,105,121
22401049,2025-03-25,1610612745,1610612737,121,114
22401050,2025-03-25,1610612762,1610612763,103,140
22401048,2025-03-25,1610612752,1610612742,128,113
22401045,2025-03-25,1610612766,1610612753,104,111
22401046,2025-03-25,1610612765,1610612759,122,96
22401042,2025-03-24,1610612743,1610612741,119,129
22401038,2025-03-24,1610612753,1610612747,118,106
22401043,2025-03-24,1610612756,1610612749,108,106
22401037,2025-03-24,1610612754,1610612750,119,103
22401039,2025-03-24,1610612764,1610612761,104,112
22401044,2025-03-24,1610612758,1610612738,95,113
22401041,2025-03-24,1610612740,1610612755,112,99
22401040,2025-03-24,1610612751,1610612742,101,120
22401033,2025-03-23,1610612761,1610612759,89,123
22401029,2025-03-23,1610612765,1610612740,136,130
22401034,2025-03-23,1610612757,1610612738,116,129
22401035,2025-03-23,1610612745,1610612743,111,116
22401032,2025-03-23,1610612748,1610612766,122,105
22401030,2025-03-23,1610612762,1610612739,91,120
22401031,2025-03-23,1610612737,1610612755,132,119
22401036,2025-03-23,1610612746,1610612760,101,103
22401026,2025-03-22,1610612752,1610612764,122,103
22401027,2025-03-22,1610612758,1610612749,108,114
22401028,2025-03-22,1610612747,1610612741,115,146
22401025,2025-03-22,1610612737,1610612744,124,115
22401024,2025-03-22,1610612754,1610612751,108,103
22401016,2025-03-21,1610612750,1610612740,134,93
22401017,2025-03-21,1610612760,1610612766,141,106
22401022,2025-03-21,1610612757,1610612743,128,109
22401023,2025-03-21,1610612746,1610612763,128,108
22401015,2025-03-21,1610612748,1610612745,98,102
22401021,2025-03-21,1610612756,1610612739,123,112
22401018,2025-03-21,1610612759,1610612755,128,120
22401020,2025-03-21,1610612762,1610612738,99,121
22401014,2025-03-21,1610612764,1610612753,105,120
22401019,2025-03-21,1610612742,1610612765,123,117
22400996,2025-03-20,1610612747,1610612749,89,118
22401005,2025-03-20,1610612744,1610612761,117,114
22401011,2025-03-20,1610612754,1610612751,105,99
22401013,2025-03-20,1610612758,1610612741,116,128
22401010,2025-03-20,1610612766,1610612752,115,98
22401001,2025-03-19,1610612750,1610612740,115,119
22400999,2025-03-19,1610612753,1610612745,108,116
22401006,2025-03-19,1610612747,1610612743,120,108
22400627,2025-03-19,1610612762,1610612764,128,112
22401002,2025-03-19,1610612760,1610612755,133,100
22401008,2025-03-19,1610612757,1610612763,115,99
22401003,2025-03-19,1610612759,1610612752,120,105
22401009,2025-03-19,1610612758,1610612739,123,119
22401007,2025-03-19,1610612756,1610612741,127,121
22401000,2025-03-19,1610612748,1610612765,113,116
22400998,2025-03-19,1610612754,1610612742,135,131
22400997,2025-03-18,1610612746,1610612739,132,119
22400994,2025-03-18,1610612738,1610612751,104,96
22400993,2025-03-18,1610612766,1610612737,102,134
22401012,2025-03-18,1610612744,1610612749,104,93
22400991,2025-03-17,1610612756,1610612761,129,89
22400984,2025-03-17,1610612752,1610612748,116,95
22400987,2025-03-17,1610612740,1610612765,81,127
22400985,2025-03-17,1610612745,1610612755,144,137
22400992,2025-03-17,1610612758,1610612763,132,122
22400990,2025-03-17,1610612744,1610612743,105,114
22400986,2025-03-17,1610612750,1610612754,130,132
22400989,2025-03-17,1610612762,1610612741,97,111
22400995,2025-03-17,1610612757,1610612764,112,97
22400537,2025-03-17,1610612747,1610612759,0,0
22400980,2025-03-16,1610612757,1610612761,105,102
22400979,2025-03-16,1610612739,1610612753,103,108
22400978,2025-03-16,1610612751,1610612737,122,114
22400977,2025-03-16,1610612747,1610612756,107,96
22400982,2025-03-16,1610612749,1610612760,105,121
22400538,2025-03-16,1610612746,1610612766,123,88
22400976,2025-03-16,1610612742,1610612755,125,130
22400981,2025-03-16,1610612750,1610612762,128,102
22400970,2025-03-15,1610612745,1610612741,117,114
22400968,2025-03-15,1610612751,1610612738,113,115
22400973,2025-03-15,1610612759,1610612740,119,115
22400969,2025-03-15,1610612765,1610612760,107,113
22400972,2025-03-15,1610612749,1610612754,126,119
22400975,2025-03-15,1610612743,1610612764,123,126
22400971,2025-03-15,1610612763,1610612748,125,91
22400974,2025-03-15,1610612744,1610612752,97,94
22400959,2025-03-14,1610612755,1610612754,100,112
22400962,2025-03-14,1610612763,1610612739,124,133
22400964,2025-03-14,1610612759,1610612766,134,145
22400960,2025-03-14,1610612737,1610612746,98,121
22400966,2025-03-14,1610612762,1610612761,118,126
22400963,2025-03-14,1610612750,1610612753,118,111
22400958,2025-03-14,1610612748,1610612738,91,103
22400965,2025-03-14,1610612743,1610612747,131,126
22400961,2025-03-14,1610612745,1610612742,133,96
22400967,2025-03-14,1610612756,1610612758,122,106
22400957,2025-03-13,1610612744,1610612758,130,104
22400954,2025-03-13,1610612765,1610612764,125,129
22401141,2025-03-13,1610612740,1610612753,93,113
22400955,2025-03-13,1610612749,1610612747,126,106
22400956,2025-03-13,1610612741,1610612751,116,110
22400946,2025-03-12,1610612738,1610612760,112,118
22400949,2025-03-12,1610612745,1610612756,111,104
22400945,2025-03-12,1610612737,1610612766,123,110
22400948,2025-03-12,1610612748,1610612746,104,119
22400950,2025-03-12,1610612763,1610612762,122,115
22400951,2025-03-12,1610612759,1610612742,126,116
22400953,2025-03-12,1610612757,1610612752,113,114
22400947,2025-03-12,1610612761,1610612755,118,105
22400952,2025-03-12,1610612743,1610612750,95,115
22400941,2025-03-11,1610612765,1610612764,123,103
22400943,2025-03-11,1610612740,1610612746,127,120
22400940,2025-03-11,1610612739,1610612751,109,104
22400942,2025-03-11,1610612754,1610612749,115,114
22400935,2025-03-10,1610612763,1610612756,120,118
22400933,2025-03-10,1610612741,1610612754,121,103
22400929,2025-03-10,1610612738,1610612762,114,108
22400934,2025-03-10,1610612745,1610612753,97,84
22400928,2025-03-10,1610612737,1610612755,132,123
22400937,2025-03-10,1610612759,1610612742,129,133
22400939,2025-03-10,1610612758,1610612752,104,133
22400931,2025-03-10,1610612748,1610612766,102,105
22400936,2025-03-10,1610612760,1610612743,127,140
22400930,2025-03-10,1610612751,1610612747,111,108
22400938,2025-03-10,1610612744,1610612757,130,120
22400932,2025-03-10,1610612761,1610612764,119,104
22400923,2025-03-09,1610612740,1610612763,104,107
22400920,2025-03-09,1610612760,1610612743,127,103
22400921,2025-03-09,1610612742,1610612756,116,125
22400924,2025-03-09,1610612755,1610612762,126,122
22400927,2025-03-09,1610612746,1610612758,111,110
22400925,2025-03-09,1610612750,1610612759,141,124
22400922,2025-03-09,1610612749,1610612739,100,112
22400926,2025-03-09,1610612757,1610612765,112,119
22400917,2025-03-08,1610612749,1610612753,109,111
22400916,2025-03-08,1610612748,1610612741,109,114
22400919,2025-03-08,1610612744,1610612765,115,110
22400915,2025-03-08,1610612761,1610612764,117,118
22400913,2025-03-08,1610612745,1610612740,146,117
22400912,2025-03-08,1610612766,1610612751,105,102
22400914,2025-03-08,1610612737,1610612754,120,118
22400918,2025-03-08,1610612738,1610612747,111,101
22400905,2025-03-07,1610612761,1610612762,118,109
22400908,2025-03-07,1610612760,1610612757,107,89
22400904,2025-03-07,1610612766,1610612739,117,118
22400910,2025-03-07,1610612758,1610612759,127,109
22400911,2025-03-07,1610612746,1610612752,105,95
22400906,2025-03-07,1610612742,1610612763,111,122
22400909,2025-03-07,1610612743,1610612756,149,141
22400907,2025-03-07,1610612748,1610612750,104,106
22400900,2025-03-06,1610612738,1610612755,123,105
22400901,2025-03-06,1610612751,1610612744,119,121
22400899,2025-03-06,1610612737,1610612754,124,118
22400902,2025-03-06,1610612740,1610612745,97,109
22400944,2025-03-06,1610612753,1610612741,123,125
22400903,2025-03-06,1610612747,1610612752,113,109
22400897,2025-03-05,1610612749,1610612742,137,107
22400892,2025-03-05,1610612766,1610612750,110,125
22400894,2025-03-05,1610612764,1610612762,125,122
22400896,2025-03-05,1610612743,1610612758,116,110
22400895,2025-03-05,1610612763,1610612760,103,120
22400891,2025-03-05,1610612738,1610612757,128,118
22400893,2025-03-05,1610612739,1610612748,112,107
22400898,2025-03-05,1610612746,1610612765,123,115
22400886,2025-03-04,1610612741,1610612739,117,139
22400883,2025-03-04,1610612753,1610612761,113,114
22400888,2025-03-04,1610612759,1610612751,127,113
22400885,2025-03-04,1610612752,1610612744,102,114
22400890,2025-03-04,1610612747,1610612740,136,115
22400889,2025-03-04,1610612756,1610612746,119,117
22400887,2025-03-04,1610612750,1610612755,126,112
22400882,2025-03-04,1610612754,1610612745,115,102
22400884,2025-03-04,1610612737,1610612749,121,127
22400880,2025-03-03,1610612742,1610612758,98,122
22400878,2025-03-03,1610612763,1610612737,130,132
22400877,2025-03-03,1610612748,1610612764,106,90
22400881,2025-03-03,1610612762,1610612765,106,134
22400875,2025-03-03,1610612766,1610612744,101,119
22400879,2025-03-03,1610612760,1610612745,137,128
22400876,2025-03-03,1610612755,1610612757,102,119
22400872,2025-03-02,1610612762,1610612740,121,128
22400874,2025-03-02,1610612747,1610612746,108,102
22400866,2025-03-02,1610612738,1610612743,110,103
22400869,2025-03-02,1610612748,1610612752,112,116
22400867,2025-03-02,1610612739,1610612757,133,129
22400868,2025-03-02,1610612754,1610612741,127,112
22400873,2025-03-02,1610612756,1610612750,98,116
22400871,2025-03-02,1610612759,1610612760,132,146
22400870,2025-03-02,1610612753,1610612761,102,104
22400861,2025-03-01,1610612765,1610612751,115,94
22400862,2025-03-01,1610612745,1610612758,103,113
22400860,2025-03-01,1610612766,1610612764,100,113
22400864,2025-03-01,1610612755,1610612744,126,119
22400863,2025-03-01,1610612763,1610612759,128,130
22400865,2025-03-01,1610612742,1610612749,117,132
22400851,2025-02-28,1610612737,1610612760,119,135
22400859,2025-02-28,1610612747,1610612746,106,102
22400854,2025-02-28,1610612748,1610612754,125,120
22400850,2025-02-28,1610612765,1610612743,119,134
22400855,2025-02-28,1610612741,1610612761,125,115
22400858,2025-02-28,1610612762,1610612750,117,116
22400856,2025-02-28,1610612763,1610612752,113,114
22400857,2025-02-28,1610612756,1610612740,125,108
22400853,2025-02-28,1610612751,1610612757,102,121
22400852,2025-02-28,1610612738,1610612739,116,123
22400847,2025-02-27,1610612742,1610612766,103,96
22400848,2025-02-27,1610612756,1610612740,116,124
22400849,2025-02-27,1610612747,1610612750,111,102
22400845,2025-02-27,1610612753,1610612744,115,121
22400846,2025-02-27,1610612749,1610612743,121,112
22400836,2025-02-26,1610612765,1610612738,117,97
22400837,2025-02-26,1610612754,1610612761,111,91
22400838,2025-02-26,1610612752,1610612755,110,105
22400842,2025-02-26,1610612741,1610612746,117,122
22400839,2025-02-26,1610612764,1610612757,121,129
22400840,2025-02-26,1610612751,1610612760,121,129
22400844,2025-02-26,1610612745,1610612759,118,106
22400843,2025-02-26,1610612762,1610612758,101,118
22400841,2025-02-26,1610612748,1610612737,131,109
22400829,2025-02-25,1610612761,1610612738,101,111
22400830,2025-02-25,1610612753,1610612739,82,122
22400833,2025-02-25,1610612740,1610612759,109,103
22400832,2025-02-25,1610612763,1610612756,151,148
22400834,2025-02-25,1610612744,1610612766,128,92
22400835,2025-02-25,1610612747,1610612742,107,99
22400831,2025-02-25,1610612745,1610612749,100,97
22400824,2025-02-24,1610612764,1610612751,107,99
22400825,2025-02-24,1610612737,1610612748,98,86
22400826,2025-02-24,1610612760,1610612750,128,131
22400823,2025-02-24,1610612755,1610612741,110,142
22400828,2025-02-24,1610612758,1610612766,130,88
22400821,2025-02-24,1610612765,1610612746,106,97
22400827,2025-02-24,1610612762,1610612757,112,114
22400822,2025-02-24,1610612754,1610612743,116,125
22400816,2025-02-23,1610612761,1610612756,127,109
22400815,2025-02-23,1610612753,1610612764,110,90
22400811,2025-02-23,1610612738,1610612752,118,105
22400819,2025-02-23,1610612739,1610612763,129,123
22400818,2025-02-23,1610612740,1610612759,114,96
22400820,2025-02-23,1610612750,1610612760,123,130
22400812,2025-02-23,1610612744,1610612742,0,0
22400814,2025-02-23,1610612737,1610612765,143,148
22400817,2025-02-23,1610612749,1610612748,120,113
22400813,2025-02-23,1610612754,1610612746,129,111
22400808,2025-02-22,1610612743,1610612747,100,123
22400810,2025-02-22,1610612757,1610612766,141,88
22400806,2025-02-22,1610612741,1610612756,117,121
22400807,2025-02-22,1610612755,1610612751,103,105
22400809,2025-02-22,1610612762,1610612745,124,115
22400802,2025-02-21,1610612759,1610612765,110,125
22400804,2025-02-21,1610612762,1610612760,107,130
22400800,2025-02-21,1610612761,1610612748,111,120
22400797,2025-02-21,1610612739,1610612752,142,105
